acc_scores,f1_scores,fold_number,dataset_name,classes,dataset_len,percent_labeled_samples,exec_time_secs_9_runs
0.7504587155963303,0.7524153767780956,4,TREC_Train,6,5452,0.8,212.1448483467102
0.7855178735105408,0.7893498025890812,0,TREC_Train,6,5452,0.9,212.1448483467102
0.7818515123739689,0.7855390843221717,1,TREC_Train,6,5452,0.9,212.1448483467102
0.7642201834862385,0.7667213342440824,2,TREC_Train,6,5452,0.9,212.1448483467102
0.7642201834862385,0.7676361997792244,3,TREC_Train,6,5452,0.9,212.1448483467102
0.7642201834862385,0.7657497077799337,4,TREC_Train,6,5452,0.9,212.1448483467102
0.7873510540788268,0.7909556425874315,0,TREC_Train,6,5452,1.0,212.1448483467102
0.769019248395967,0.7759336573058433,1,TREC_Train,6,5452,1.0,212.1448483467102
0.7724770642201835,0.7747920210801497,2,TREC_Train,6,5452,1.0,212.1448483467102
0.773394495412844,0.7764044419851408,3,TREC_Train,6,5452,1.0,212.1448483467102
0.7651376146788991,0.7666291177039658,4,TREC_Train,6,5452,1.0,212.1448483467102
0.819321876451463,0.3083970879376409,0,hate_speech_18_Train,4,10763,0.1,340.8105103969574
0.823966558290757,0.3224734025564669,1,hate_speech_18_Train,4,10763,0.1,340.8105103969574
0.8202508128193219,0.3115891311292248,2,hate_speech_18_Train,4,10763,0.1,340.8105103969574
0.8155204460966543,0.293943584249633,3,hate_speech_18_Train,4,10763,0.1,340.8105103969574
0.8085501858736059,0.3142411918663938,4,hate_speech_18_Train,4,10763,0.1,340.8105103969574
0.8151416627960985,0.4049873443698745,0,hate_speech_18_Train,4,10763,0.2,340.8105103969574
0.7900603808639108,0.3349536559394528,1,hate_speech_18_Train,4,10763,0.2,340.8105103969574
0.8095680445889457,0.3362738307928202,2,hate_speech_18_Train,4,10763,0.2,340.8105103969574
0.8015799256505576,0.3136213495946954,3,hate_speech_18_Train,4,10763,0.2,340.8105103969574
0.7829925650557621,0.3063254782367619,4,hate_speech_18_Train,4,10763,0.2,340.8105103969574
0.7974918718067813,0.4169666084213187,0,hate_speech_18_Train,4,10763,0.3,340.8105103969574
0.7673014398513702,0.2991234657649482,1,hate_speech_18_Train,4,10763,0.3,340.8105103969574
0.7895959126799814,0.3591979195015461,2,hate_speech_18_Train,4,10763,0.3,340.8105103969574
0.8011152416356877,0.3929747717483943,3,hate_speech_18_Train,4,10763,0.3,340.8105103969574
0.766728624535316,0.3381065965175105,4,hate_speech_18_Train,4,10763,0.3,340.8105103969574
0.7970274036228518,0.3668331074685941,0,hate_speech_18_Train,4,10763,0.4,340.8105103969574
0.7547607988852764,0.3429776546102113,1,hate_speech_18_Train,4,10763,0.4,340.8105103969574
0.7812354853692522,0.3929077245594087,2,hate_speech_18_Train,4,10763,0.4,340.8105103969574
0.7862453531598513,0.3229919275358094,3,hate_speech_18_Train,4,10763,0.4,340.8105103969574
0.766728624535316,0.3391905887151542,4,hate_speech_18_Train,4,10763,0.4,340.8105103969574
0.7886669763121226,0.4050676145315361,0,hate_speech_18_Train,4,10763,0.5,340.8105103969574
0.7621922898281468,0.3509714129683703,1,hate_speech_18_Train,4,10763,0.5,340.8105103969574
0.772875058058523,0.3774314595607642,2,hate_speech_18_Train,4,10763,0.5,340.8105103969574
0.7932156133828996,0.3890047676121363,3,hate_speech_18_Train,4,10763,0.5,340.8105103969574
0.7639405204460966,0.330812888535178,4,hate_speech_18_Train,4,10763,0.5,340.8105103969574
